region_id,region_type_id,region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,pending_sales,pending_sales_yoy,median_pending_sqft,median_pending_sqft_yoy,off_market_in_two_weeks,off_market_in_two_weeks_yoy,off_market_in_one_week,off_market_in_one_week_yoy,percent_off_market_in_two_weeks,percent_off_market_in_two_weeks_yoy,percent_off_market_in_one_week,percent_off_market_in_one_week_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,homes_delisted,homes_delisted_yoy,percent_active_listings_delisted,percent_active_listings_delisted_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,pending_sales_to_sales_ratio,pending_sales_to_sales_ratio_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,last_updated
2436,5,"Anderson County, SC",county,1/20/2020,1/26/2020,1 weeks,29,-0.09375,29,-0.09375,6,-0.538461538,6,-0.538461538,0.206896552,-0.199353448,200000,0.15942029,107.0402299,0.126259671,30,14.5,28,0.166666667,0.03286385,0.005053885,22,-0.083333333,1920.5,0.177859552,10,-0.166666667,7,0,0.454545455,-0.045454545,0.318181818,0.026515152,58,0.183673469,58,0.183673469,179900,-0.027041644,107.0683341,-0.004080373,810,-0.004914005,852,-0.012746234,852,-0.012746234,88,-1.5,8,0.333333333,0.009389671,0.00243718,204900,0.078988942,108.2231405,0.046028119,,,,,,,0.972928641,0.008062688,79,-31,0.75862069,0.00862069,29.37931034,2.410560345,53,-0.196969697,0.034567901,0.005083872,3/10/2021 14:56
2436,5,"Anderson County, SC",county,1/20/2020,2/16/2020,4 weeks,148,-0.09202454,37,-0.075,63,0.211538462,15,0.153846154,0.420120054,0.099847606,178437.5,0.091994012,102.8679472,0.078409203,18.6,2.4,32,0.032258065,0.036535439,-0.000153816,26,0,1664.6,0.083865087,8,-0.2,6,0.2,0.328805334,-0.059484895,0.242218266,0.030891637,256,0.11790393,64,0.122807018,193325,0.069298508,107.0582292,0.026740757,821,0.016089109,3499,0.011271676,874,0.010404624,81.7,-5.4,8,0,0.009418384,-0.000396044,204973.7,0.079945732,108.2729714,0.043206158,,,,,,,0.966790371,0.004982254,94.7,7.9,0.726134092,0.077269111,24.33224524,2.475471327,74,0.15625,0.15590743,-0.001270788,3/10/2021 14:56
2436,5,"Anderson County, SC",county,1/27/2020,2/2/2020,1 weeks,33,-0.326530612,33,-0.326530612,19,0.1875,19,0.1875,0.575757576,0.249226964,185000,0.30190007,103.6965735,0.198570784,0,-9,33,0.1,0.037628278,0.003420753,31,0.068965517,1500,-0.002659574,10,0,6,-0.25,0.322580645,-0.022246941,0.193548387,-0.082313682,72,0.058823529,72,0.058823529,224950,0.402531977,113.0992525,0.166948832,819,0.007380074,877,0,877,0,82,-5,6,-0.454545455,0.006841505,-0.005701254,205000,0.081794195,108.2954363,0.049243721,,,,,,,0.974602525,0.025995244,117,20,0.939393939,0.347557205,26.57575758,8.677798392,85,0.307692308,0.04029304,0.003392671,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/3/2020,2/9/2020,1 weeks,40,0.111111111,40,0.111111111,22,1.75,22,1.75,0.55,0.327777778,152500,-0.072666464,90.78234501,-0.083552538,31.5,10,41,0.782608696,0.046171171,0.019302012,30,0.25,1696,0.063989962,9,0,8,1,0.3,-0.075,0.266666667,0.1,70,0.489361702,70,0.489361702,184000,-0.05590674,109.2181365,-0.008312214,828,0.033707865,888,0.037383178,888,0.037383178,81,-5,13,0.625,0.01463964,0.005293845,205000,0.079515534,108.3501684,0.036580326,,,,,,,0.950965717,-0.014963497,122,57.5,0.75,0.083333333,22.2,-1.577777778,75,0.19047619,0.049516908,0.020802801,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/3/2020,3/1/2020,4 weeks,190,-0.103773585,47,-0.113207547,80,0.15942029,20,0.176470588,0.431155868,0.122203573,173300,-0.080605389,101.8615935,0.015409128,23,-0.3,35,0.060606061,0.040455658,0.002279075,26,-0.071428571,1678.5,0.099358135,6,-0.4,5,-0.166666667,0.264732143,-0.1006103,0.193154762,-0.032160128,226,-0.066115702,56,-0.066666667,205434.8,0.050731398,110.3249693,0.047814285,822,0.019851117,3510,0.015331212,877,0.015046296,76.7,-9,7,0,0.008522187,0.000127284,207746.2,0.080587559,108.5674048,0.041983946,,,,,,,0.970833591,-0.000791609,88.6,14.8,0.565110827,-0.01954497,19.57713839,1.887041773,78,0.164179104,0.172749392,0.00897768,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/10/2020,2/16/2020,1 weeks,46,0,46,0,16,0.066666667,16,0.066666667,0.347826087,0.02173913,176250,0.009617863,109.9526403,0.089307282,13,-6,26,-0.48,0.029478458,-0.028391912,21,-0.222222222,1542,0.08975265,5,-0.444444444,4,0.333333333,0.238095238,-0.095238095,0.19047619,0.079365079,56,-0.138461538,56,-0.138461538,184450,0.007923497,98.84719375,-0.035830117,827,0.024783147,882,0.020833333,882,0.020833333,76,-10,6,-0.333333333,0.006802721,-0.003613946,204995,0.079489205,108.2231405,0.041065393,,,,,,,0.968664601,0.000834579,61,-15,0.456521739,-0.130434783,19.17391304,0.391304348,86,0.34375,0.031438936,-0.030518933,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/10/2020,3/8/2020,4 weeks,214,0.004694836,53,0,77,0.026666667,19,0.055555556,0.367874618,0.019883284,180175,-0.050491657,105.5595407,0.031566978,20.5,-2.2,31,-0.114285714,0.036031316,-0.004488,28,-0.096774194,1686.7,0.103644572,6,-0.4,4,-0.428571429,0.239732143,-0.100042118,0.170238095,-0.066440431,217,-0.208029197,54,-0.205882353,206934.6,0.071966722,110.6037685,0.066997113,815,0.002460025,3500,0.004592423,875,0.004592423,74,-7.2,8,0.142857143,0.009133348,0.000809888,208996.2,0.080066976,108.8513189,0.046454603,,,,,,,0.974981014,0.001979635,79.3,8.6,0.533860827,-0.107101276,17.45682589,-0.255042499,79,0.097222222,0.154601227,-0.018830507,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/17/2020,2/23/2020,1 weeks,36,-0.28,36,-0.28,16,0.066666667,16,0.066666667,0.444444444,0.144444444,179500,-0.07830552,102.8673974,0.063989927,22.5,-4,31,-0.060606061,0.035714286,-0.002436003,21,-0.447368421,1714,0.162427942,7,-0.5,4,-0.666666667,0.333333333,-0.035087719,0.19047619,-0.125313283,42,-0.3,42,-0.3,215000,0.102846884,116.0092807,0.141373191,815,0.01494396,868,0.003468208,868,0.003468208,75,-13,6,0,0.006912442,-2.40E-05,209000,0.081780538,108.4800072,0.045009332,,,,,,,0.979563574,0.006359953,102.5,34.5,0.583333333,-0.176666667,24.11111111,6.811111111,84,0.024390244,0.03803681,-0.003059081,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/17/2020,3/15/2020,4 weeks,222,0.072463768,55,0.078431373,81,0.065789474,20,0.052631579,0.373510689,0.007041094,176787.5,-0.088111287,104.4538163,0.017312467,18.6,-0.2,32,0.103448276,0.037082143,0.004116703,33,0.03125,1672.7,0.029607288,9,-0.181818182,7,-0.222222222,0.280208333,-0.071820829,0.203869048,-0.078561113,225,-0.210526316,56,-0.211267606,214872.1,0.118953598,114.4974224,0.09790268,806,-0.020656136,3479,-0.01276958,869,-0.013620885,71.7,-3.5,7,0,0.008884468,0.000952785,210745,0.082114268,109.2833557,0.051457978,,,,,,,0.976016195,0.002174108,87.3,25.6,0.604915577,-0.101807396,16.64945874,-2.016757474,83,0.106666667,0.160049628,0.019101876,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/24/2020,3/1/2020,1 weeks,68,-0.15,68,-0.15,26,-0.161290323,26,-0.161290323,0.382352941,-0.005147059,184950,-0.160095094,103.8439914,-0.007088581,25,-1.5,44,0.692307692,0.050458716,0.020642202,32,0.230769231,1762,0.084975369,6,-0.4,4,-0.5,0.1875,-0.197115385,0.125,-0.182692308,58,-0.171428571,58,-0.171428571,238289.5,0.138953149,117.225266,0.09691541,818,0.006150062,872,0,872,0,75,-8,5,-0.166666667,0.005733945,-0.001146789,211990,0.081515417,109.2163033,0.045297879,,,,,,,0.984140474,0.004602529,69,-18,0.470588235,0.145588235,12.82352941,1.923529412,69,0.15,0.053789731,0.021809411,3/10/2021 14:56
