region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,pending_sales,pending_sales_yoy,median_pending_sqft,median_pending_sqft_yoy,off_market_in_two_weeks,off_market_in_two_weeks_yoy,off_market_in_one_week,off_market_in_one_week_yoy,percent_off_market_in_two_weeks,percent_off_market_in_two_weeks_yoy,percent_off_market_in_one_week,percent_off_market_in_one_week_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,homes_delisted,homes_delisted_yoy,percent_active_listings_delisted,percent_active_listings_delisted_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,pending_sales_to_sales_ratio,pending_sales_to_sales_ratio_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,last_updated
"New York County, NY",county,3/18/2019,4/14/2019,4 weeks,697,0.057663126,174,0.06097561,15,1.142857143,3,2,0.021141376,0.010450065,1333923.8,0.012921716,1478.455634,0.015198519,0,0,50,-0.275362319,0.005508003,-0.001609364,28,0.12,1090.5,0.017257463,2,,2,,0.122424525,0.092752808,0.081528167,0.058800894,1638,0.085487078,409,0.084880637,1387500,-0.00090009,1425.442078,-0.013006762,8943,-0.054850983,36627,-0.054201312,9156,-0.054229935,124.5,-10.2,69,-0.103896104,0.007564505,-0.000405968,1468750,-0.029233377,1474.779942,-0.042526581,1185000,,1145000,,0.966244726,,0.998656276,0.001437989,241,37.3,0.165469883,0.009881055,52.79197275,-6.629218998,16,-0.483870968,0.022587499,-0.00658181,3/10/2021 14:56
"New York County, NY",county,3/25/2019,4/21/2019,4 weeks,693,0.03742515,173,0.035928144,21,1.333333333,5,1.5,0.03034383,0.016764303,1360173.8,0.032364828,1462.529981,-0.006302243,0,0,53,-0.411111111,0.005792009,-0.003486401,31,-0.03125,965.5,-0.113813676,2,0,2,0,0.09671024,0.038483744,0.073671024,0.022388973,1536,-0.055931162,384,-0.054187192,1436250,0.013215362,1432.683132,-0.024480194,9025,-0.054280625,36921,-0.057897423,9230,-0.05787486,115.5,-10.5,62,-0.392156863,0.006713899,-0.003762275,1468932.5,-0.025085329,1472.273513,-0.041111113,,,,,,,0.998191511,0.000937217,252.5,55,0.182855357,-0.014692279,53.57245473,-5.704385969,15,-0.615384615,0.023711911,-0.014326441,3/10/2021 14:56
"New York County, NY",county,4/1/2019,4/28/2019,4 weeks,698,0.073846154,174,0.074074074,21,0.909090909,5,1.5,0.030079615,0.013433131,1354350,0.004151993,1464.192385,-0.023282606,0,0,57,-0.278481013,0.006159204,-0.001871076,32,0.032258065,989.6,-0.046628131,2,0,1,-0.5,0.065092593,-0.002749288,0.056759259,0.005477208,1644,-0.071710898,411,-0.070135747,1531250,0.085979814,1456.84585,0.017222262,9120,-0.056486654,37330,-0.057870429,9332,-0.057849571,106.5,-9.7,68,-0.298969072,0.00730374,-0.00255004,1478932.5,-0.013538156,1472.728765,-0.03620708,,,,,,,0.997254162,0.001338352,253,51.9,0.186492714,-0.010581981,53.77250053,-7.357183556,18,-0.379310345,0.025219298,-0.007679522,3/10/2021 14:56
"New York County, NY",county,4/8/2019,5/5/2019,4 weeks,748,0.106508876,187,0.106508876,21,0.5,5,0.666666667,0.029044818,0.008647446,1315428.7,0.022685092,1426.819059,-0.036547934,0,0,47,-0.096153846,0.005020373,-0.000188511,22,-0.185185185,1033.6,0.036502206,1,-0.5,1,-0.5,0.075064103,0.014166667,0.066730769,0.015448718,1527,-0.131893121,381,-0.132118451,1463625,-0.002652099,1417.983905,-0.023709973,9209,-0.062983313,37584,-0.062953452,9396,-0.062930089,100.2,-8.8,55,-0.202898551,0.005912078,-0.001034669,1481843.7,-0.010454826,1470.213382,-0.033896544,,,,,,,0.997388969,0.000891981,257.5,60.8,0.120631349,-0.045089284,50.85070357,-8.599087523,14,-0.176470588,0.020414812,-0.00085096,3/10/2021 14:56
"New York County, NY",county,4/15/2019,5/12/2019,4 weeks,743,0.091042584,185,0.088235294,16,0.066666667,4,0.333333333,0.022732688,0.00085011,1323553.7,0.048359366,1464.649114,-0.008183242,0,0,37,-0.288461538,0.003959598,-0.001218157,18,-0.357142857,993.6,0.106828562,1,-0.5,1,-0.5,0.071142534,0.010245098,0.056436652,0.0051546,1530,-0.094138544,382,-0.09478673,1484875,0.010537011,1418.871322,-0.006475903,9311,-0.066379224,37959,-0.066979648,9489,-0.067053387,98.7,-4.8,51,-0.23880597,0.005466185,-0.001205546,1485593.7,-0.007785007,1469.357349,-0.031319839,,,,,,,0.997149117,-0.001199446,250.6,47.8,0.1046957,-0.065897963,51.64636241,-8.2098704,12,-0.333333333,0.016002578,-0.004954005,3/10/2021 14:56
"New York County, NY",county,4/22/2019,5/19/2019,4 weeks,781,0.095371669,195,0.095505618,11,-0.153846154,2,-0.333333333,0.014774015,-0.003537696,1291053.7,0.049637154,1422.557582,-0.016928712,0,0,29,-0.09375,0.003059632,-9.99E-05,17,-0.37037037,987.1,0.150198089,1,,0,,0.061142534,0.043951392,0.046436652,0.038860894,1645,-0.009036145,411,-0.009638554,1424875,-0.013073593,1398.15391,-0.015290809,9447,-0.067791593,38489,-0.066707081,9622,-0.066731329,97.2,-5,49,0.113636364,0.005115348,0.00074564,1489161.2,-0.005236339,1466.424235,-0.030423732,,,,,,,0.997336865,0.000158453,240.1,40.3,0.091227763,-0.061857641,49.61907553,-8.429543624,11,0.1,0.012384884,-0.000344542,3/10/2021 14:56
"New York County, NY",county,4/29/2019,5/26/2019,4 weeks,796,0.091906722,199,0.093406593,6,-0.571428571,1,-0.666666667,0.007346172,-0.011790861,1276553.7,0.038607226,1389.860695,-0.033265258,0,0,53,1.944444444,0.005432128,0.003658229,20,-0.333333333,967.7,0.048201906,0,,0,,0.048642534,0.034487829,0.033936652,0.019781947,1450,-0.00752909,362,-0.008219178,1385812.5,-0.10094054,1387.99744,-0.062138865,9538,-0.071727494,38883,-0.06829128,9720,-0.068340842,96,-6.5,55,1.75,0.00566048,0.003718925,1488931.2,-0.00621979,1462.678766,-0.032245557,3000000,,2800000,,0.933333333,,0.997527194,-0.001084927,237.1,44.5,0.106342836,-0.059194786,49.03505836,-8.480909916,15,2.75,0.022331726,0.015129779,3/10/2021 14:56
"New York County, NY",county,5/6/2019,6/2/2019,4 weeks,778,0.061391542,194,0.06010929,5,-0.642857143,1,-0.666666667,0.006402513,-0.01257845,1306441.7,0.021374535,1400.64445,-0.018313577,0,0,63,2.315789474,0.006406467,0.004603534,23,-0.303030303,1107,0.114242577,0,,0,,0.029411765,0.007904119,0.014705882,0.000551177,1376,0.008797654,344,0.008797654,1363437.5,-0.066136268,1381.244656,-0.080689063,9600,-0.075411731,39181,-0.071320218,9795,-0.071299896,95.5,-7.2,66,2.473684211,0.006723511,0.004924222,1487270,-0.008156052,1459.399689,-0.035360328,3000000,,2800000,,0.933333333,,0.997748171,-0.001112207,231.7,41.2,0.12026035,-0.063990011,50.40701029,-7.421292167,18,5,0.02625,0.018930343,3/10/2021 14:56
"New York County, NY",county,5/13/2019,6/9/2019,4 weeks,801,0.045691906,200,0.047120419,7,-0.533333333,1,-0.666666667,0.008588802,-0.011151207,1269566.7,-0.018958946,1344.435802,-0.053602745,0,0,67,2.722222222,0.006803706,0.005074938,24,-0.47826087,1165.3,0.137766061,0,-1,0,,0.010869565,-0.016967195,0.010869565,-0.00328514,1335,0.00678733,333,0.006042296,1325312.5,-0.073205579,1404.452054,-0.071249151,9656,-0.067863693,39402,-0.067010797,9850,-0.067058155,95.7,-7,63,1.423076923,0.006447255,0.003905065,1477270,-0.017445959,1456.754227,-0.0395977,3000000,,2800000,,0.933333333,,0.998491963,0.001882004,225.3,45,0.124869119,-0.114134278,49.31619149,-5.887557003,17,4.666666667,0.027754764,0.020707752,3/10/2021 14:56
"New York County, NY",county,5/20/2019,6/16/2019,4 weeks,838,0.098296199,209,0.1,9,-0.4375,2,-0.5,0.010496281,-0.010585875,1258316.7,-0.03418256,1338.497673,-0.055379366,0,0,91,4.352941176,0.009252975,0.007576887,26,-0.365853659,1271.2,0.16773838,0,-1,0,,0.029388084,-0.024206252,0.020128824,-0.019783456,1240,0.043771044,310,0.043771044,1294062.5,-0.054563585,1405.871221,-0.06149722,9663,-0.053945565,39567,-0.049761041,9891,-0.049764627,96,-6.2,83,1.766666667,0.008414542,0.00551427,1467270,-0.024570386,1455.815072,-0.04236717,3000000,,2800000,,0.933333333,,0.997871472,0.000351201,221.8,47,0.128354842,-0.087872113,47.59554054,-7.047811315,21,4.25,0.037876436,0.031023097,3/10/2021 14:56
"New York County, NY",county,5/27/2019,6/23/2019,4 weeks,912,0.184415584,228,0.1875,16,0.230769231,4,0.333333333,0.016844503,-0.000281917,1341066.7,0.06223105,1394.678698,-0.002666362,0,0,68,3.533333333,0.006910336,0.005384454,28,-0.151515152,1291.5,0.040441473,1,0,0,,0.047680767,-0.035048907,0.026226385,-0.042821234,1263,0.000792393,315,0,1261875,0.036048792,1391.396369,-0.01316505,9663,-0.042224205,39596,-0.036570233,9899,-0.036499903,97,-4.5,78,1.516129032,0.007924974,0.004849802,1457500,-0.031065406,1453.672086,-0.044267208,759000,,729000,,0.960474308,,0.998444357,0.00180921,217.3,37,0.12342308,-0.05254127,43.85953972,-9.637533227,16,3,0.028355583,0.022111159,3/10/2021 14:56
"New York County, NY",county,6/3/2019,6/30/2019,4 weeks,1152,0.361702128,288,0.36492891,27,1.454545455,6,2,0.021735129,0.008596499,1683972,0.376075179,1515.246174,0.081446179,0,0,68,-0.2,0.006928232,-0.001550079,45,0.363636364,1267.5,0.07771448,2,1,1,0,0.058791878,-0.031290738,0.031781941,-0.044618619,1103,-0.034995626,275,-0.035087719,1242000,-0.033932912,1389.057355,-0.027896587,9591,-0.027084601,39473,-0.025285824,9868,-0.025286448,98.7,-2,82,-0.171717172,0.008359602,-0.001444585,1449750,-0.036217545,1450.752816,-0.046721522,759000,,729000,,0.960474308,,0.998145323,0.001593872,205,37.4,0.145781455,-0.016295499,37.01003879,-11.54201405,15,-0.423076923,0.02856845,-0.006124186,3/10/2021 14:56
"New York County, NY",county,6/10/2019,7/7/2019,4 weeks,1063,0.398684211,265,0.394736842,26,1.166666667,6,1,0.022215011,0.003812002,1718562.6,0.487530517,1538.345597,0.11837844,0,0,67,-0.220930233,0.006855733,-0.001734189,47,1.764705882,1274.1,-0.022929448,2,1,1,0,0.047922313,-0.035831189,0.020912376,-0.055488184,905,-0.070841889,226,-0.069958848,1228875,-0.010965795,1336.70156,-0.065094448,9476,-0.025403682,39028,-0.018681954,9757,-0.018607926,101.2,0.2,90,-0.042553191,0.009216401,-0.000152601,1438500,-0.041306462,1444.754732,-0.049030244,854000,,839000,,0.980237154,,0.998386893,0.001018735,199.3,36.1,0.182529332,0.09167223,44.25586751,-13.03020667,17,-0.346153846,0.028493035,-0.006989841,3/10/2021 14:56
"New York County, NY",county,6/17/2019,7/14/2019,4 weeks,997,0.208484848,249,0.208737864,28,1,7,1.333333333,0.026331193,0.00697062,1624062.6,0.392177959,1507.807887,0.112008313,0,0,53,-0.369047619,0.005571524,-0.00281963,51,1.833333333,1226.7,-0.047667107,3,,1,,0.071070461,0.020650293,0.03546264,-0.007604587,842,-0.165510406,210,-0.166666667,1230750,-0.017855362,1337.860707,-0.059434239,9348,-0.034497005,38496,-0.028810737,9624,-0.028761732,104.2,2.5,86,-0.011494253,0.008982947,0.000262058,1426000,-0.049333333,1438.566136,-0.051458701,854000,,839000,,0.980237154,,0.998574637,0.001049395,187.3,27.6,0.215214499,0.124433394,47.49717101,-6.373893237,16,-0.36,0.022999572,-0.011807286,3/10/2021 14:56
"New York County, NY",county,6/24/2019,7/21/2019,4 weeks,916,0.068844807,229,0.070093458,22,0.571428571,5,0.666666667,0.021432181,0.002413248,1502562.6,0.21566878,1440.381934,0.054561568,0,0,50,-0.572649573,0.005351818,-0.006457316,52,1.166666667,1187,0.113926426,3,,1,,0.063416076,0.040897693,0.034684228,0.019518787,771,-0.191823899,192,-0.193277311,1213960.6,-0.023951276,1349.996854,-0.051878102,9195,-0.037777313,37933,-0.037770788,9483,-0.037747336,107.2,4.2,93,-0.191304348,0.009901589,-0.00168487,1416000,-0.05584264,1434.397473,-0.05314219,949000,,949000,,1,,0.998692085,0.000222321,174.8,23.8,0.241433881,0.125024479,51.00451953,-0.920438342,15,-0.571428571,0.022077216,-0.027211189,3/10/2021 14:56
"New York County, NY",county,7/1/2019,7/28/2019,4 weeks,654,-0.210144928,163,-0.212560386,14,0,3,0,0.021091139,0.00170102,1097590.6,-0.119989173,1302.578998,-0.035108357,0,0,47,0.02173913,0.005069726,0.000343637,35,0.590909091,1008.1,-0.140652971,2,,1,,0.064209726,0.056397226,0.041033435,0.033220935,750,-0.179431072,187,-0.179824561,1210085.6,0.036475889,1368.840458,-0.021251825,9069,-0.045167404,37283,-0.041370976,9320,-0.041448113,110.7,5.5,93,0.823529412,0.010015201,0.00476432,1403750,-0.063229897,1431.337905,-0.051759983,874000,,859500,,0.981852315,,0.998513461,-0.000618859,173.1,18.9,0.21984205,0.109094298,58.30354917,5.713661097,15,0.25,0.020840225,0.00136244,3/10/2021 14:56
"New York County, NY",county,7/8/2019,8/4/2019,4 weeks,710,-0.258872651,177,-0.259414226,15,0.363636364,3,0.5,0.021243764,0.009902888,1049875,-0.183411447,1270.519468,-0.073437563,0,0,55,0.25,0.006021799,0.001523025,33,0.269230769,939.3,-0.090442529,2,,1,,0.074626393,0.057554634,0.051450101,0.034378342,841,-0.15984016,210,-0.16,1215085.6,-0.011623305,1399.361268,-0.016305014,8927,-0.053541137,36811,-0.050063224,9202,-0.0500671,113.5,5.5,106,1,0.011576896,0.006080784,1402500,-0.063282685,1430.093308,-0.050987731,799000,,770000,,0.963704631,,0.996845225,-0.002702703,179.5,23.8,0.18931702,0.079989722,51.88474575,11.36701677,14,0.166666667,0.024868377,0.006208496,3/10/2021 14:56
"New York County, NY",county,7/15/2019,8/11/2019,4 weeks,708,-0.225382932,177,-0.223684211,11,0.375,2,0,0.01544691,0.006622429,1140625,-0.067495313,1334.319966,-0.030557908,0,0,49,-0.268656716,0.005491284,-0.001501498,30,0.153846154,898.7,-0.11169319,1,,0,,0.041580416,0.024508657,0.027640578,0.010568818,790,-0.092996556,197,-0.092165899,1155710.6,-0.062303773,1392.500365,-0.032011864,8785,-0.05496988,36223,-0.055462842,9055,-0.055491812,117,5.8,107,0.304878049,0.011811599,0.00320717,1402500,-0.0625,1429.29964,-0.050426891,799000,-0.482847896,770000,-0.498661361,0.963704631,-0.030397635,0.997006563,-0.002256078,182.6,25.6,0.170917567,0.055223926,51.18125738,9.15607055,12,-0.368421053,0.022652248,-0.006392502,3/10/2021 14:56
"New York County, NY",county,7/22/2019,8/18/2019,4 weeks,718,-0.199554069,179,-0.200892857,14,1,3,2,0.019267371,0.011431405,1165625,-0.031671859,1362.224377,-0.010332124,0,0,43,0.34375,0.004817904,0.001353489,24,0.090909091,884.7,-0.185734008,1,,0,,0.042305755,0.033046495,0.033685065,0.024425806,738,-0.10653753,184,-0.106796117,1077875,-0.116043055,1348.794903,-0.061196038,8661,-0.060221354,35621,-0.057944568,8905,-0.057971014,120.5,5.5,93,0.660714286,0.010483424,0.004557284,1400000,-0.061976549,1427.505775,-0.050577768,799000,-0.482847896,770000,-0.498661361,0.963704631,-0.030397635,0.996537966,-0.002700451,179.8,21.8,0.134375638,0.033340835,49.69735208,7.465590387,12,0.333333333,0.019859139,0.005644729,3/10/2021 14:56
"New York County, NY",county,7/29/2019,8/25/2019,4 weeks,716,-0.14863258,179,-0.147619048,13,1.166666667,3,2,0.01791951,0.010466041,1210625,0.037301468,1371.038686,0.004607805,0,0,41,0.28125,0.00473515,0.001340336,22,0.157894737,859,-0.154277838,1,,1,,0.068862531,0.059603272,0.060241841,0.050982582,746,-0.049681529,186,-0.051020408,1065375,-0.182837967,1316.235438,-0.087470108,8550,-0.064449064,35157,-0.061503964,8789,-0.061505606,123.5,4.8,94,0.773584906,0.01067424,0.005042517,1400000,-0.061976549,1425.391698,-0.053408906,,,,,,,0.995746108,-0.002589006,188.5,28.2,0.123286049,0.030768178,49.18135531,4.053658283,11,0.1,0.019532164,0.005526255,3/10/2021 14:56
